# slug,chinese_name,english_name,scientific_name,wikipedia_page
chestnut_eared_bunting,"栗耳鹀","Chestnut-eared Bunting","Emberiza fucata",Chestnut-eared_Bunting
chinese_barbet,"黑眉拟啄木鸟","Chinese Barbet","Psilopogon faber",Chinese_Barbet
davids_fulvetta,"灰眶雀鹛","David's Fulvetta","Alcippe davidi",David's_Fulvetta
green_sandpiper,"白腰草鹬","Green Sandpiper","Tringa ochropus",Green_Sandpiper
little_forktail,"小燕尾","Little Forktail","Enicurus scouleri",Little_Forktail
richards_pipit,"田鹨","Richard's Pipit","Anthus richardi",Richard's_Pipit
slaty_backed_forktail,"灰背燕尾","Slaty-backed Forktail","Enicurus schistaceus",Slaty-backed_Forktail
spotted_forktail,"斑背燕尾","Spotted Forktail","Enicurus maculatus",Spotted_Forktail
streak_breasted_scimitar_babbler,"棕颈钩嘴鹛","Streak-breasted Scimitar Babbler","Pomatorhinus ruficollis",Streak-breasted_Scimitar_Babbler
white_capped_water_redstart,"白顶溪鸲","White-capped Water-redstart","Phoenicurus leucocephalus",White-capped_Water-redstart
white_crowned_forktail,"白额燕尾","White-crowned Forktail","Enicurus leschenaulti",White-crowned_Forktail
wryneck,"蚁䴕","Wryneck","Jynx torquilla",Wryneck
ashy_bulbul,"灰短脚鹎","Ashy Bulbul","Hemixos flavala",Ashy_Bulbul
ashy_drongo,"灰卷尾","Ashy Drongo","Dicrurus leucophaeus",Ashy_Drongo
asian_fairy_bluebird,"和平鸟","Asian Fairy-bluebird","Irena puella",Asian_Fairy-bluebird
banded_bay_cuckoo,"栗斑杜鹃","Banded Bay Cuckoo","Cacomantis sonneratii",Banded_Bay_Cuckoo
bar_tailed_cuckoo_dove,"斑尾鹃鸠","Bar-tailed Cuckoo Dove","Macropygia unchall",Bar-tailed_Cuckoo_Dove
bay_woodpecker,"黄嘴栗啄木鸟","Bay Woodpecker","Blythipicus pyrrhotis",Bay_Woodpecker
black_backed_forktail,"黑背燕尾","Black-backed Forktail","Enicurus immaculatus",Black-backed_Forktail
black_breasted_thrush,"黑胸鸫","Black-breasted Thrush","Turdus dissimilis",Black-breasted_Thrush
