地点名称,时间段,观鸟点名称,访问人数,访问次数,大概鸟种数
北京,所有时段,北京温榆河公园-东园,9,13,19
北京,所有时段,北京温榆河公园-西园,9,12,23
北京,所有时段,千灵山,9,12,30
北京,所有时段,北京园博园-园博功能湿地,9,11,22
北京,所有时段,房山区稻田水库,9,11,38
北京,所有时段,西郊沙石坑,9,11,16
北京,所有时段,北京颐和园,9,10,20
北京,所有时段,宛平湖西岸,9,10,36
北京,所有时段,昌平区沙河巩华城地铁站东50米,9,10,54
北京,所有时段,水峪嘴村,9,10,13
北京,所有时段,清河(北京市海淀区),9,10,23
北京,所有时段,北京市海淀区上庄乡常乐村村民委员会南(马坊中路西),9,9,14
北京,所有时段,北京市百望山森林公园,9,9,30
北京,所有时段,古北水镇,9,9,18
北京,所有时段,密云区北京清水河公寓西(清水河北路),9,9,29
北京,所有时段,密云区北庄镇朱家湾村,9,9,44
北京,所有时段,密云区太师屯镇密古路(城子村),9,9,41
北京,所有时段,巩华城滨河森林公园及半岛周边,9,9,48
北京,所有时段,房山区北京银泰鸿业高尔夫俱乐部,9,9,21
北京,所有时段,昌平新城滨河森林公园(北京市昌平区),9,9,28
北京,所有时段,朝阳区奥运村奥林匹克森林公园(天辰路西),9,9,38
北京,所有时段,潮白河,9,9,43
北京,所有时段,百望山森林公园282,9,9,19
北京,所有时段,神堂峪风景区,9,9,23
北京,所有时段,黑山寨村,9,9,20
北京,所有时段,龙潭湖公园,9,9,14
北京,所有时段,通州区东郊森林湿地公园,8,14,32
北京,所有时段,海淀区玉东园(颐和园西门路北150米),8,13,28
北京,所有时段,红军庄村(北京市怀柔区),8,12,25
北京,所有时段,北京航空航天大学,8,11,11
北京,所有时段,南海子公园雁影海,8,11,42
北京,所有时段,小龙门国家级森林公园,8,11,27
北京,所有时段,北京永定河废弃河道,8,10,54
北京,所有时段,南沙河,8,10,49
北京,所有时段,昌平区沙河巩华城地铁站东北150米,8,10,41
北京,所有时段,昌平区白浮泉公园(白浮泉路北300米),8,10,51
北京,所有时段,萧太后河,8,10,42
北京,所有时段,东城区天坛公园(天坛路南300米),8,9,21
北京,所有时段,北京鹫峰国家森林公园,8,9,17
北京,所有时段,千亩玫瑰园景区,8,9,22
北京,所有时段,天坛公园科普园至西门,8,9,23
北京,所有时段,奥林匹克森林公园-北园,8,9,37
北京,所有时段,奥森奥森南园,8,9,30
北京,所有时段,东升八家郊野公园,8,8,30
北京,所有时段,北京市植物园北园,8,8,32
北京,所有时段,北天堂公园,8,8,17
北京,所有时段,北运河通州段,8,8,26
北京,所有时段,十三陵景区定陵,8,8,22
北京,所有时段,教军场,8,8,28
北京,所有时段,牛口峪水库,8,8,33
北京,所有时段,百望山森林公园(海淀区黑山扈北口19号),8,8,33
北京,所有时段,通州大运河森林公园,8,8,32
北京,所有时段,门头沟区宛平县人民八年抗战为国牺牲烈士纪念碑,8,8,10
北京,所有时段,陶然亭公园-醉翁亭,8,8,15
北京,所有时段,顺义新城滨河森林公园三区,8,8,37
北京,所有时段,颐和园公园,8,8,34
北京,所有时段,麋鹿苑,8,8,30
北京,所有时段,中国科学院大学（雁栖湖）,7,30,33
北京,所有时段,海淀区北坞公园(金河路南),7,27,44
北京,所有时段,上庄水库(北京市海淀区),7,26,44
北京,所有时段,马驹桥湿地公园-一期,7,24,35
北京,所有时段,朝阳区庆丰公园,7,16,14
北京,所有时段,白河城市森林公园,7,16,29
北京,所有时段,定慧公园,7,14,11
北京,所有时段,中国农业大学东校区,7,13,20
北京,所有时段,北京大学鸣鹤园,7,11,33
北京,所有时段,永定公园,7,11,25
北京,所有时段,北京中山公园,7,9,20
北京,所有时段,百望山森林公园猛禽监测春季点,7,9,31
北京,所有时段,百花山保护区,7,9,31
北京,所有时段,东马坊村(马坊中路),7,8,23
北京,所有时段,北京昌平区沙河水库南岸,7,8,34
北京,所有时段,国家植物园中国科学院植物研究所北门,7,8,33
北京,所有时段,朝阳区南磨房官庄公园(官庄路东150米),7,8,20
北京,所有时段,沙河昌平新城滨河森林公园东50米,7,8,23
北京,所有时段,清华大学主楼北侧林地,7,8,14
北京,所有时段,温榆河公园,7,8,28
北京,所有时段,东城区天坛公园(天坛路南150米),7,7,18
北京,所有时段,云蒙大桥,7,7,22
北京,所有时段,亦庄新城滨河森林公园（凉水河公园）,7,7,32
北京,所有时段,什刹海公园,7,7,7
北京,所有时段,元大都城垣遗址公园(安贞西里小区北)大都建典,7,7,16
北京,所有时段,元大都城垣遗址公园东土城沟,7,7,20
北京,所有时段,凉水河大兴段,7,7,20
北京,所有时段,北京动物园-水禽湖,7,7,20
北京,所有时段,北京奥林匹克公园-静心池,7,7,20
北京,所有时段,北京野生动物园,7,7,15
北京,所有时段,北京野鸭湖湿地公园,7,7,75
北京,所有时段,南海子公园一期,7,7,48
北京,所有时段,国家天文台密云站,7,7,18
北京,所有时段,大兴区西北永定河畔,7,7,12
北京,所有时段,妙峰山镇,7,7,10
北京,所有时段,妫水河森林公园,7,7,27
北京,所有时段,宛平湖晓月湖,7,7,31
北京,所有时段,密云区北京石匣碧水甘薯种植专业合作社西(东石路南),7,7,14
北京,所有时段,小龙门南沟,7,7,20
北京,所有时段,平谷区西峪水库,7,7,38
北京,所有时段,房山区军红路(教军场),7,7,16
北京,所有时段,昌平区明十三陵风景区(献陵路北),7,7,21
北京,所有时段,昌平区沙河滨河观景平台南200米,7,7,28
北京,所有时段,暖泉会村,7,7,25
北京,所有时段,朝阳区奥运村奥林匹克森林公园(奥林西路东400米),7,7,23
北京,所有时段,朱家湾,7,7,34
北京,所有时段,樱花庭院,7,7,31
北京,所有时段,沙河南岸,7,7,23
北京,所有时段,沙河昌平新城滨河森林公园东北100米,7,7,35
北京,所有时段,沿河城村,7,7,35
北京,所有时段,沿河城站,7,7,20
北京,所有时段,潮白河大桥,7,7,31
北京,所有时段,玉渡山风景区,7,7,14
北京,所有时段,紫竹院公园(海淀区中关村南大街35号),7,7,21
北京,所有时段,西郊雨洪调蓄工程（西郊砂石坑）,7,7,29
北京,所有时段,门头沟沿河城站,7,7,22
北京,所有时段,黑山寨村(北京市昌平区),7,7,23
北京,所有时段,北京环球度假区,6,141,37
北京,所有时段,北京师范大学附属实验中学,6,46,20
北京,所有时段,北科建水岸雁栖,6,34,47
北京,所有时段,凉水河通州段,6,24,30
北京,所有时段,东小口城市休闲公园(北京市昌平区),6,23,28
北京,所有时段,沙河水库新城滨河森林公园,6,23,29
北京,所有时段,玲珑公园,6,20,14
北京,所有时段,奥森北园河东,6,19,35
北京,所有时段,首都经济贸易大学(花乡张家路口121号),6,19,9
北京,所有时段,怀柔城市森林公园,6,17,26
北京,所有时段,中国传媒大学,6,13,12
